Date,ML_Prediction,Confidence,TA_Signal,Hybrid_Signal,Portfolio_Value,Daily_Return,Close
2021-08-25,1,0.5627106188859671,0,0,100000.0,,4496.18994140625
2021-08-26,1,0.5580312650934437,0,0,100000.0,0.0,4470.0
2021-08-27,1,0.7869458537335021,0,1,100000.0,0.0,4509.3701171875
2021-08-30,1,0.5939808922974543,0,0,100430.65708447796,0.004306570844779589,4528.7900390625
2021-08-31,1,0.5073860729189974,0,0,100295.16447414726,-0.0013491160395051605,4522.68017578125
2021-09-01,1,0.47144534799032534,0,0,100326.42533613277,0.0003116886257619189,4524.08984375
2021-09-02,1,0.5922646410930393,0,0,100611.61708638372,0.002842638410522902,4536.9501953125
2021-09-03,0,0.617823566501553,0,0,100577.90906305122,-0.0003350311257154237,4535.43017578125
2021-09-07,1,0.512100568733685,0,0,100236.38928922957,-0.003395574405981705,4520.02978515625
2021-09-08,1,0.4778069866309149,0,0,100104.22092019764,-0.001318566739775151,4514.06982421875
2021-09-09,1,0.5342412929475294,0,0,99643.18005368595,-0.004605608657393456,4493.27978515625
2021-09-10,1,0.47304920823440866,0,0,98873.67774783193,-0.007722578759925436,4458.580078125
2021-09-13,1,0.8015666928763987,0,1,99098.76245101617,0.0022764876184568905,4468.72998046875
2021-09-14,1,0.5624656949484701,0,0,98529.27768676118,-0.00574663850657553,4443.0498046875
2021-09-15,1,0.7683343663263418,0,1,99364.21448827798,0.008473996979569742,4480.7001953125
2021-09-16,1,0.6734238938572237,0,0,99210.08663600858,-0.0015511404489347846,4473.75
2021-09-17,1,0.5276102657280208,1,1,98306.19619087425,-0.009110872450405205,4432.990234375
2021-09-20,1,0.8542617815505449,1,1,96637.22132408754,-0.01697731100841471,4357.72998046875
2021-09-21,1,0.84675346846752,1,1,96558.71725432828,-0.0008123585165594749,4354.18994140625
2021-09-22,1,0.7786230239559739,1,1,97477.91870010254,0.009519611195260236,4395.64013671875
2021-09-23,1,0.6408807933540923,1,1,98660.78553879238,0.012134715784494876,4448.97998046875
2021-09-24,1,0.71953546855905,1,1,98804.92983901793,0.001461009046688444,4455.47998046875
2021-09-27,1,0.5764578916089432,1,1,98530.6095489102,-0.0027763826213396126,4443.10986328125
2021-09-28,1,0.5892633566730274,1,1,96524.12132289645,-0.020364110556098214,4352.6298828125
2021-09-29,1,0.6057120049302674,1,1,96675.58545086782,0.0015691842194003325,4359.4599609375
2021-09-30,1,0.5544063365593915,1,1,95524.20686526211,-0.011909714125195148,4307.5400390625
2021-10-01,1,0.5973824875425078,1,1,96621.92115159515,0.01149147763018199,4357.0400390625
2021-10-04,1,0.7651393210144597,1,1,95367.1987257436,-0.012985898136748442,4300.4599609375
2021-10-05,-1,0.5457635954094464,1,1,96370.89220687392,0.010524514660609219,4345.72021484375
2021-10-06,-1,0.5784226843572048,0,0,96766.28201477176,0.004102792854185466,4363.5498046875
2021-10-07,-1,0.6064370856873342,0,0,97569.2757810072,0.008298280656405366,4399.759765625
